baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABCF2P1,22.3319414966709,-1.78050838058411,0.404176051178077,-4.40527927222395,1.05647680031192e-05,3.40403499243552e-05
ABCF3,907.100574981107,0.431106789411746,0.135693745842757,3.17705717926983,0.00148777699993549,0.0036113085999872
ABCG1,2384.27223500089,0.549427909012791,0.208806427695572,2.63127871625593,0.00850642424956177,0.0180522789347746
ABCG2,86.1233665098533,-4.26367304308362,0.274709280742588,-15.5206734608971,2.51398563833021e-54,6.11103031624055e-53
ABCG4,78.5881596112184,-2.70063410187968,0.2257735007049,-11.9616965385569,5.63977515483691e-33,7.48511667955634e-32
ABCG8,5.95269680636072,-1.10949229135733,0.452661374835795,-2.45104255197343,0.0142443113128367,0.0288077225017441
ABHD1,63.1755021633825,0.812267644842574,0.264931024812052,3.06595894315819,0.00216973106306557,0.00513484261676217
ABHD10,441.452282277679,-0.413533040618599,0.120498687395337,-3.43184684876994,0.000599485996191945,0.00155306108919089
ABHD11,100.563267848932,-0.349488932157069,0.141635287316062,-2.46752725807077,0.0136049862639497,0.0276389143330926
ABHD12B,74.9591860437301,1.25407663095414,0.289090654478335,4.33800474531813,1.43782051404877e-05,4.56093309247866e-05
ABHD13,574.502266354272,-0.965014072277938,0.192991437865839,-5.00029474338018,5.72427387767473e-07,2.10722179683613e-06
ABHD15,67.485521083455,0.611558962822592,0.192916095733474,3.17007743961137,0.00152398315827697,0.00369388136080858
ABHD17A,1036.27151672123,1.49485888759732,0.110740039110115,13.4988112665456,1.58919631216272e-41,2.7292789564528e-40
ABHD17AP1,4.41189673687089,1.56904457847334,0.521108264509315,3.01097619311561,0.00260409268809257,0.00608180020203068
ABHD17AP6,8.29433909317625,1.23364021453647,0.498480166860762,2.47480300431102,0.0133309684767866,0.0271361198318094
ABHD17B,735.765594270635,1.86677986023773,0.126116267952719,14.8020544101225,1.42075962279124e-49,3.03803216617628e-48
ABHD17C,83.6567436739635,-2.45431669354092,0.216234559383481,-11.3502517846295,7.39494464786601e-30,8.85400393938113e-29
ABHD2,10112.2625874351,-3.93668420211325,0.135354950038303,-29.0841539300872,5.69539997162856e-186,3.00467944753229e-183
ABHD3,174.264159290733,-1.01804267298485,0.148691385711591,-6.84668226146937,7.55823333899e-12,4.06557576003916e-11
ABHD4,221.663733007295,-0.614050259029017,0.182649944662724,-3.36189677014632,0.000774090567610784,0.0019689915567885
ABHD6,1300.23792448116,0.977236941065678,0.0906713617299186,10.7777904998996,4.38286949558936e-27,4.80309008922685e-26
ABHD8,69.6248851238744,-1.36353773089674,0.176981752440295,-7.70439727314109,1.31462281256162e-14,8.35282736984015e-14
ABI1,918.829919523005,-1.63746524056152,0.115322380695872,-14.1990239074221,9.28973265914165e-46,1.79541232686468e-44
ABI2,2737.56711428215,-0.369515662426132,0.0830981616804532,-4.44673690673294,8.71845076554218e-06,2.83647881718796e-05
ABI3BP,7.43818523034528,-1.22408085948389,0.465433552648695,-2.62997983819145,0.00853899322006112,0.0181145116286846
ABL1,1932.05599393965,0.962796865931409,0.0903863191321419,10.6520198540648,1.70622108217689e-26,1.83526118568399e-25
ABL2,1059.55080989201,-0.388443384756084,0.0812403038198256,-4.7814122608105,1.7406797365419e-06,6.09481599342536e-06
ABLIM1,540.051529713145,-2.50930562561011,0.193130454881462,-12.9928013018467,1.34415482884863e-38,2.11088575075559e-37
ABLIM2,234.812463939745,0.561234320599884,0.190202565243706,2.95071898678535,0.00317035215051204,0.00729429437886804
ABLIM3,1062.55468098306,-2.87847456159437,0.206382777452972,-13.9472614775246,3.26918902890139e-44,5.99896186803406e-43
ABR,1413.97049791789,-2.31267509182788,0.132771117957972,-17.418510346203,5.9711585658304e-68,1.9669287591873e-66
ABRAXAS1,161.836350733552,0.745112008354033,0.121914898703633,6.11173873150117,9.85514353696767e-10,4.60679864851414e-09
ABT1,142.362765014192,-0.408899348949826,0.158007177602374,-2.5878530023416,0.00965761843996665,0.0202735531588556
ABTB1,744.237987136321,0.951700891723954,0.205674991173396,4.62720764588057,3.7062887507921e-06,1.25673838866847e-05
ABTB2,543.002300389791,0.62655835076553,0.189965946674188,3.2982666721849,0.000972836946273287,0.00243418309277985
AC000068.1,29.965070708505,-0.799479035831543,0.265283663493812,-3.0136760978883,0.00258103202018667,0.00603253254392791
AC000093.1,86.2701367579184,-5.00752135631028,0.30150930378437,-16.6081818818152,6.08084174743696e-62,1.7760686916995e-60
AC000095.1,7.0342243486933,-3.86222715978795,0.679713079490383,-5.68214335772921,1.33017088337556e-08,5.67284194850228e-08
AC000095.2,14.3647182516319,-1.14275238943517,0.275742040549918,-4.14428060065181,3.4088213891508e-05,0.000103289460094488
AC000111.2,8.58944138662511,4.51958178639583,0.674108870856366,6.70452798025681,2.02058436816505e-11,1.0577210946779e-10
AC000120.1,78.563305635144,0.904678102563514,0.158370206676542,5.71242610304378,1.11376785477923e-08,4.79108903666275e-08
AC000367.1,17.8975144771415,-2.6150951483743,0.351705629654431,-7.43546570734102,1.04200197820957e-13,6.29714601615675e-13
AC001226.1,9.02039704089553,0.824782510837725,0.320026294696638,2.57723357269614,0.00995946263054174,0.0208411091575836
AC001226.2,22.8376095112368,1.6959671558879,0.269831370389466,6.2852853374313,3.27252064746135e-10,1.58299981577199e-09
AC002044.1,1.88150802376095,-3.41747821347581,0.887654876740498,-3.85000781612886,0.000118114055541715,0.000335436367340437
AC002044.2,14.6147818075643,-2.30177421107931,0.386763375666419,-5.95137584346813,2.65897690438038e-09,1.20200423349175e-08
AC002044.3,8.9005646797569,-2.12134163243229,0.499096310853931,-4.2503652828104,2.13422170017929e-05,6.62314903353435e-05
AC002066.1,1.96763456182639,-2.09780954873309,0.818307746934798,-2.56359487807738,0.0103594382858908,0.0216039826191384
AC002069.2,2.3303960271386,-2.41793924670285,0.780304671682468,-3.0987117397226,0.00194364028009202,0.00463192196619332
AC002090.1,90.3462904163055,-6.36870735786825,0.343584348472338,-18.5360811287974,1.05645096748562e-76,4.24642981740293e-75
AC002094.1,1.93378819144672,3.06774776321229,1.17894411434969,2.60211465995102,0.00926508700330328,0.0195296789598909
AC002094.4,46.3956602517903,-1.10715330664919,0.194082197768324,-5.70455878684351,1.16644832702944e-08,5.00877035658424e-08
