"","id","altName","node_attributes"
"329","AMZ2",NA,"turquoise"
"330","ANAPC11",NA,"turquoise"
"331","ANAPC2",NA,"turquoise"
"332","ANAPC5",NA,"turquoise"
"333","ANGEL1",NA,"turquoise"
"334","ANGEL2",NA,"turquoise"
"335","ANGPTL3",NA,"turquoise"
"336","ANK1",NA,"turquoise"
"337","ANK2",NA,"turquoise"
"338","ANK3",NA,"turquoise"
"339","ANKDD1A",NA,"turquoise"
"340","ANKH",NA,"turquoise"
"341","ANKIB1",NA,"turquoise"
"342","ANKMY2",NA,"turquoise"
"343","ANKRD13A",NA,"turquoise"
"344","ANKRD13B",NA,"turquoise"
"345","ANKRD18B",NA,"turquoise"
"346","ANKRD18CP",NA,"turquoise"
"347","ANKRD20A1",NA,"turquoise"
"348","ANKRD20A5P",NA,"turquoise"
"349","ANKRD26",NA,"turquoise"
"350","ANKRD31",NA,"turquoise"
"351","ANKRD34A",NA,"turquoise"
"352","ANKRD35",NA,"turquoise"
"353","ANKRD36BP2",NA,"turquoise"
"354","ANKRD39",NA,"turquoise"
"355","ANKRD40",NA,"turquoise"
"356","ANKRD42",NA,"turquoise"
"357","ANKRD53",NA,"turquoise"
"358","ANKRD55",NA,"turquoise"
"359","ANKRD6",NA,"turquoise"
"360","ANKRD65",NA,"turquoise"
"361","ANKRD7",NA,"turquoise"
"362","ANKRD9",NA,"turquoise"
"363","ANKS1A",NA,"turquoise"
"364","ANKS4B",NA,"turquoise"
"365","ANKS6",NA,"turquoise"
"366","ANKUB1",NA,"turquoise"
"367","ANLN",NA,"turquoise"
"368","ANO10",NA,"turquoise"
"369","ANO2",NA,"turquoise"
"370","ANO3",NA,"turquoise"
"371","ANO4",NA,"turquoise"
"372","ANO6",NA,"turquoise"
"373","ANO7",NA,"turquoise"
"374","ANO8",NA,"turquoise"
"375","ANOS1",NA,"turquoise"
"376","ANP32A",NA,"turquoise"
"377","ANTXR1",NA,"turquoise"
"378","ANTXR2",NA,"turquoise"
"379","ANXA2",NA,"turquoise"
"380","ANXA2P1",NA,"turquoise"
"381","ANXA4",NA,"turquoise"
"382","ANXA5",NA,"turquoise"
"383","ANXA6",NA,"turquoise"
"384","ANXA7",NA,"turquoise"
"385","ANXA9",NA,"turquoise"
"386","AOAH",NA,"turquoise"
"387","AOC2",NA,"turquoise"
"388","AOX1",NA,"turquoise"
"389","AP000641.1",NA,"turquoise"
"390","AP000705.8",NA,"turquoise"
"391","AP000857.2",NA,"turquoise"
"392","AP000925.2",NA,"turquoise"
"393","AP000936.1",NA,"turquoise"
"394","AP006285.1",NA,"turquoise"
"395","AP1AR",NA,"turquoise"
"396","AP1G2",NA,"turquoise"
"397","AP1M1",NA,"turquoise"
"398","AP1S2",NA,"turquoise"
"399","AP1S3",NA,"turquoise"
"400","AP2A1",NA,"turquoise"
"401","AP2S1",NA,"turquoise"
"402","AP3B2",NA,"turquoise"
"403","AP4B1",NA,"turquoise"
"404","AP4E1",NA,"turquoise"
"405","AP5Z1",NA,"turquoise"
"406","APAF1",NA,"turquoise"
"407","APBA1",NA,"turquoise"
"408","APBA2",NA,"turquoise"
"409","APBA3",NA,"turquoise"
"410","APBB1",NA,"turquoise"
"411","APCDD1",NA,"turquoise"
"412","APCDD1L",NA,"turquoise"
"413","APELA",NA,"turquoise"
"414","APIP",NA,"turquoise"
"415","APLN",NA,"turquoise"
"416","APLP1",NA,"turquoise"
"417","APLP2",NA,"turquoise"
"418","APOBEC3A",NA,"turquoise"
"419","APOBEC3C",NA,"turquoise"
"420","APOBEC3D",NA,"turquoise"
"421","APOBEC3F",NA,"turquoise"
"422","APOBEC3G",NA,"turquoise"
"423","APOBR",NA,"turquoise"
"424","APOE",NA,"turquoise"
"425","APOL1",NA,"turquoise"
"426","APOL2",NA,"turquoise"
"427","APOL6",NA,"turquoise"
"428","APOO",NA,"turquoise"
"429","APP",NA,"turquoise"
"430","APRT",NA,"turquoise"
"431","AR",NA,"turquoise"
"432","ARAP1",NA,"turquoise"
"433","ARAP2",NA,"turquoise"
"434","ARAP3",NA,"turquoise"
"435","ARC",NA,"turquoise"
