"","id","altName","node_attributes"
"443","ATG13",NA,"turquoise"
"444","ATG2A",NA,"turquoise"
"445","ATG2B",NA,"turquoise"
"446","ATG4A",NA,"turquoise"
"447","ATG4C",NA,"turquoise"
"448","ATG7",NA,"turquoise"
"449","ATL2",NA,"turquoise"
"450","ATOH8",NA,"turquoise"
"451","ATOX1",NA,"turquoise"
"452","ATP10B",NA,"turquoise"
"453","ATP10D",NA,"turquoise"
"454","ATP11A",NA,"turquoise"
"455","ATP11B",NA,"turquoise"
"456","ATP13A2",NA,"turquoise"
"457","ATP13A4",NA,"turquoise"
"458","ATP13A5",NA,"turquoise"
"459","ATP1A2",NA,"turquoise"
"460","ATP1A3",NA,"turquoise"
"461","ATP1B2",NA,"turquoise"
"462","ATP1B3",NA,"turquoise"
"463","ATP1B4",NA,"turquoise"
"464","ATP2A1",NA,"turquoise"
"465","ATP2B2",NA,"turquoise"
"466","ATP2B4",NA,"turquoise"
"467","ATP2C2",NA,"turquoise"
"468","ATP5A1",NA,"turquoise"
"469","ATP5C1",NA,"turquoise"
"470","ATP5G2",NA,"turquoise"
"471","ATP5G2P3",NA,"turquoise"
"472","ATP5H",NA,"turquoise"
"473","ATP5I",NA,"turquoise"
"474","ATP6V0A1",NA,"turquoise"
"475","ATP6V1B2",NA,"turquoise"
"476","ATP6V1E1",NA,"turquoise"
"477","ATP7B",NA,"turquoise"
"478","ATP8A1",NA,"turquoise"
"479","ATP8A2",NA,"turquoise"
"480","ATP8B2",NA,"turquoise"
"481","ATPAF2",NA,"turquoise"
"482","ATRNL1",NA,"turquoise"
"483","ATXN1",NA,"turquoise"
"484","ATXN7L2",NA,"turquoise"
"485","AUNIP",NA,"turquoise"
"486","AURKC",NA,"turquoise"
"487","AUTS2",NA,"turquoise"
"488","AVPI1",NA,"turquoise"
"489","AXIN2",NA,"turquoise"
"490","AXL",NA,"turquoise"
"491","AZGP1",NA,"turquoise"
"492","AZI2",NA,"turquoise"
"493","AZIN2",NA,"turquoise"
"494","B2M",NA,"turquoise"
"495","B3GALT1",NA,"turquoise"
"496","B3GALT4",NA,"turquoise"
"497","B3GALT5",NA,"turquoise"
"498","B3GAT2",NA,"turquoise"
"499","B3GLCT",NA,"turquoise"
"500","B3GNT5",NA,"turquoise"
"501","B3GNT7",NA,"turquoise"
"502","B3GNT9",NA,"turquoise"
"503","B4GALNT3",NA,"turquoise"
"504","B4GALNT4",NA,"turquoise"
"505","B4GALT1",NA,"turquoise"
"506","B4GALT6",NA,"turquoise"
"507","BAALC",NA,"turquoise"
"508","BACE2",NA,"turquoise"
"509","BACH2",NA,"turquoise"
"510","BAD",NA,"turquoise"
"511","BASP1",NA,"turquoise"
"512","BBS9",NA,"turquoise"
"513","BCAN",NA,"turquoise"
"514","BCAR1",NA,"turquoise"
"515","BCAS3",NA,"turquoise"
"516","BCAS4",NA,"turquoise"
"517","BCAT1",NA,"turquoise"
"518","BCHE",NA,"turquoise"
"519","BCKDHA",NA,"turquoise"
"520","BCL11B",NA,"turquoise"
