"","id","altName","node_attributes"
"312","AC127070.4",NA,"turquoise"
"313","AC129502.1",NA,"turquoise"
"314","AC130650.2",NA,"turquoise"
"315","AC131392.1",NA,"turquoise"
"316","AC132872.1",NA,"turquoise"
"317","AC134349.1",NA,"turquoise"
"318","AC135050.3",NA,"turquoise"
"319","AC135050.6",NA,"turquoise"
"320","AC135506.1",NA,"turquoise"
"321","AC135507.1",NA,"turquoise"
"322","AC138409.2",NA,"turquoise"
"323","AC138866.1",NA,"turquoise"
"324","AC138932.5",NA,"turquoise"
"325","AC138951.2",NA,"turquoise"
"326","AC139713.2",NA,"turquoise"
"327","AC139769.1",NA,"turquoise"
"328","AC139795.2",NA,"turquoise"
"329","AC139887.2",NA,"turquoise"
"330","AC139887.4",NA,"turquoise"
"331","AC141586.5",NA,"turquoise"
"332","AC144652.1",NA,"turquoise"
"333","AC145138.1",NA,"turquoise"
"334","AC145285.6",NA,"turquoise"
"335","AC145423.3",NA,"turquoise"
"336","AC147651.1",NA,"turquoise"
"337","AC215219.1",NA,"turquoise"
"338","AC233280.19",NA,"turquoise"
"339","AC241585.2",NA,"turquoise"
"340","AC243964.3",NA,"turquoise"
"341","AC244021.1",NA,"turquoise"
"342","AC244021.2",NA,"turquoise"
"343","AC244033.2",NA,"turquoise"
"344","AC245140.2",NA,"turquoise"
"345","AC245884.9",NA,"turquoise"
"346","ACAA1",NA,"turquoise"
"347","ACAD11",NA,"turquoise"
"348","ACADM",NA,"turquoise"
"349","ACADSB",NA,"turquoise"
"350","ACAN",NA,"turquoise"
"351","ACAP3",NA,"turquoise"
"352","ACBD4",NA,"turquoise"
"353","ACER2",NA,"turquoise"
"354","ACER3",NA,"turquoise"
"355","ACHE",NA,"turquoise"
"356","ACLY",NA,"turquoise"
"357","ACO1",NA,"turquoise"
"358","ACOT11",NA,"turquoise"
"359","ACOT13",NA,"turquoise"
"360","ACOT2",NA,"turquoise"
"361","ACOT9",NA,"turquoise"
"362","ACOX1",NA,"turquoise"
"363","ACP6",NA,"turquoise"
"364","ACSBG1",NA,"turquoise"
"365","ACSL1",NA,"turquoise"
"366","ACSL6",NA,"turquoise"
"367","ACSS1",NA,"turquoise"
"368","ACSS2",NA,"turquoise"
"369","ACTL6A",NA,"turquoise"
"370","ACTL6B",NA,"turquoise"
"371","ACTR3C",NA,"turquoise"
"372","ACTR8",NA,"turquoise"
"373","ACYP1",NA,"turquoise"
"374","ACYP2",NA,"turquoise"
"375","ADA2",NA,"turquoise"
"376","ADAM12",NA,"turquoise"
"377","ADAM15",NA,"turquoise"
"378","ADAM19",NA,"turquoise"
"379","ADAM23",NA,"turquoise"
"380","ADAM33",NA,"turquoise"
"381","ADAM8",NA,"turquoise"
"382","ADAMTS1",NA,"turquoise"
"383","ADAMTS10",NA,"turquoise"
"384","ADAMTS13",NA,"turquoise"
"385","ADAMTS14",NA,"turquoise"
"386","ADAMTS17",NA,"turquoise"
"387","ADAMTS19",NA,"turquoise"
"388","ADAMTS2",NA,"turquoise"
"389","ADAMTS4",NA,"turquoise"
"390","ADAMTS6",NA,"turquoise"
"391","ADAMTS7",NA,"turquoise"
"392","ADAMTS8",NA,"turquoise"
"393","ADAMTS9",NA,"turquoise"
"394","ADAMTSL2",NA,"turquoise"
"395","ADAMTSL3",NA,"turquoise"
"396","ADAMTSL4-AS1",NA,"turquoise"
"397","ADAP1",NA,"turquoise"
"398","ADAP2",NA,"turquoise"
"399","ADARB1",NA,"turquoise"
"400","ADAT2",NA,"turquoise"
"401","ADAT3",NA,"turquoise"
"402","ADCK2",NA,"turquoise"
"403","ADCK5",NA,"turquoise"
"404","ADCY1",NA,"turquoise"
"405","ADCY10P1",NA,"turquoise"
"406","ADCY2",NA,"turquoise"
"407","ADCY3",NA,"turquoise"
"408","ADCY5",NA,"turquoise"
"409","ADCY6",NA,"turquoise"
"410","ADCY7",NA,"turquoise"
"411","ADCY8",NA,"turquoise"
"412","ADCYAP1R1",NA,"turquoise"
"413","ADD2",NA,"turquoise"
"414","ADD3",NA,"turquoise"
"415","ADD3-AS1",NA,"turquoise"
"416","ADGRA1",NA,"turquoise"
"417","ADGRA2",NA,"turquoise"
"418","ADGRA3",NA,"turquoise"
"419","ADGRB1",NA,"turquoise"
"420","ADGRB2",NA,"turquoise"
"421","ADGRB3",NA,"turquoise"
"422","ADGRE5",NA,"turquoise"
"423","ADGRG1",NA,"turquoise"
"424","ADGRL1",NA,"turquoise"
"425","ADGRL3",NA,"turquoise"
"426","ADHFE1",NA,"turquoise"
"427","ADI1",NA,"turquoise"
"428","ADIPOR1",NA,"turquoise"
"429","ADIPOR2",NA,"turquoise"
"430","ADK",NA,"turquoise"
"431","ADNP",NA,"turquoise"
"432","ADNP2",NA,"turquoise"
"433","ADRB1",NA,"turquoise"
"434","ADRM1",NA,"turquoise"
"435","ADSS",NA,"turquoise"
"436","AEBP1",NA,"turquoise"
"437","AEN",NA,"turquoise"
"438","AF106564.1",NA,"turquoise"
"439","AF117829.1",NA,"turquoise"
"440","AF131215.5",NA,"turquoise"
"441","AF131215.6",NA,"turquoise"
"442","AF165147.1",NA,"turquoise"
"443","AFAP1",NA,"turquoise"
"444","AFAP1L2",NA,"turquoise"
"445","AFDN-DT",NA,"turquoise"
"446","AFF2",NA,"turquoise"
"447","AFF3",NA,"turquoise"
"448","AFMID",NA,"turquoise"
"449","AGA",NA,"turquoise"
"450","AGAP2",NA,"turquoise"
"451","AGAP3",NA,"turquoise"
"452","AGBL1",NA,"turquoise"
"453","AGBL3",NA,"turquoise"
"454","AGBL4",NA,"turquoise"
"455","AGFG2",NA,"turquoise"
"456","AGGF1",NA,"turquoise"
"457","AGL",NA,"turquoise"
"458","AGO2",NA,"turquoise"
"459","AGPAT4",NA,"turquoise"
"460","AGPAT4-IT1",NA,"turquoise"
"461","AGRN",NA,"turquoise"
"462","AGT",NA,"turquoise"
"463","AGTPBP1",NA,"turquoise"
"464","AHCY",NA,"turquoise"
"465","AHCYL2",NA,"turquoise"
"466","AHDC1",NA,"turquoise"
"467","AHNAK2",NA,"turquoise"
"468","AHSA1",NA,"turquoise"
"469","AHSA2P",NA,"turquoise"
"470","AIDA",NA,"turquoise"
"471","AIF1L",NA,"turquoise"
"472","AIFM2",NA,"turquoise"
"473","AIG1",NA,"turquoise"
"474","AIMP2",NA,"turquoise"
"475","AIP",NA,"turquoise"
"476","AJAP1",NA,"turquoise"
"477","AJM1",NA,"turquoise"
"478","AK2",NA,"turquoise"
"479","AK4",NA,"turquoise"
"480","AK5",NA,"turquoise"
"481","AK6",NA,"turquoise"
"482","AKAP10",NA,"turquoise"
"483","AKAP12",NA,"turquoise"
"484","AKAP13",NA,"turquoise"
"485","AKAP5",NA,"turquoise"
"486","AKAP6",NA,"turquoise"
"487","AKAP7",NA,"turquoise"
"488","AKIRIN1",NA,"turquoise"
"489","AKR1A1",NA,"turquoise"
"490","AKR1C1",NA,"turquoise"
"491","AKR1E2",NA,"turquoise"
"492","AKT1S1",NA,"turquoise"
"493","AL008707.1",NA,"turquoise"
"494","AL022313.4",NA,"turquoise"
"495","AL022322.1",NA,"turquoise"
"496","AL022326.2",NA,"turquoise"
"497","AL022328.4",NA,"turquoise"
"498","AL023775.1",NA,"turquoise"
"499","AL023806.1",NA,"turquoise"
"500","AL031009.1",NA,"turquoise"
"501","AL031432.2",NA,"turquoise"
"502","AL031587.5",NA,"turquoise"
