"GeneID","OPC_I1","OPC_I2","OPC_I3","OPC_I4","OPC_I5","OPC_I6","OPC_I7","OPC_I8","OPC_I9","OPC_I10","MO_I1","MO_I2","MO_I3","MO_I4","MO_I5","MO_I6","MO_I7"
"AL590006.1",0,8,6,8,9,8,9,8,7,10,24,27,26,32,15,16,30
"AL590032.1",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AL590065.1",0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0
"AL590068.1",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AL590068.2",0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0
"AL590079.1",0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0
"AL590084.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590084.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590084.3",0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0
"AL590093.1",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"AL590094.1",6,14,40,26,14,17,20,16,59,42,75,52,80,104,57,12,77
"AL590095.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590095.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590096.1",4,4,8,7,5,2,16,13,13,15,62,51,32,45,39,17,33
"AL590099.1",0,1,4,1,1,0,0,3,0,1,0,0,1,0,0,4,0
"AL590103.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590128.1",0,0,0,1,0,0,1,2,0,2,0,0,3,0,0,0,0
"AL590132.1",4,4,4,8,7,3,0,2,8,6,7,12,31,22,28,0,17
"AL590133.1",0,0,0,4,0,0,5,0,2,0,0,0,1,2,0,0,0
"AL590133.2",11,12,16,18,12,7,23,25,16,23,30,40,45,71,71,10,28
"AL590135.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"AL590139.1",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"AL590143.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"AL590226.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590227.1",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"AL590229.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590233.1",0,0,0,0,0,0,1,0,0,0,4,5,3,10,8,2,3
"AL590235.1",20,46,96,43,39,19,33,48,58,35,32,16,13,20,24,7,11
"AL590235.2",0,3,1,2,1,1,1,0,2,0,0,0,0,0,0,0,0
"AL590240.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AL590240.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AL590240.3",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"AL590240.4",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"AL590282.1",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AL590282.2",0,0,0,1,2,0,0,0,2,0,0,0,1,1,0,0,1
"AL590286.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590290.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590302.1",0,1,6,0,2,0,3,2,0,6,5,1,21,2,5,6,0
"AL590302.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AL590326.1",57,30,21,24,11,14,19,15,51,21,12,35,16,12,14,16,76
"AL590365.1",0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,2,0
"AL590369.1",0,0,2,2,3,1,4,2,10,0,8,4,3,2,2,6,1
"AL590378.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590381.1",0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0
"AL590383.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590385.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590385.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590392.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590396.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590396.2",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590396.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590396.4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590399.1",0,9,2,9,6,7,6,10,14,2,10,17,4,23,17,4,4
"AL590399.2",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"AL590399.3",0,1,0,1,1,2,0,0,0,0,0,2,0,2,0,0,0
"AL590399.4",7,2,30,22,21,14,23,8,2,0,3,3,15,16,1,0,0
"AL590399.5",0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0
