baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABCA2,38781.7941401339,4.50801278749986,0.164511923899454,27.4023467761222,2.57149788325732e-165,8.59343162626932e-162
ABCA3,2546.08797096368,-0.691038605950018,0.205668167391588,-3.35996870451174,0.000779513020778967,0.00239120305933464
ABCA6,348.417324260269,3.52239195913149,0.548425496442539,6.42273559850905,1.33846861800813e-10,9.61086039462734e-10
ABCA7,183.853982942922,2.00894488901465,0.324892043222467,6.18342286591192,6.27263900090246e-10,4.21768712539554e-09
ABCA8,4091.35280015571,8.0670956436151,0.630816748108863,12.7883345960607,1.90512750081588e-37,6.24172066884951e-36
ABCA9,61.2835401690455,2.00587352500031,0.365305799628479,5.49094355206052,3.99792124858973e-08,2.2488222906139e-07
ABCB4,25.3417533546852,-3.41926169967597,0.513748628545784,-6.65551499252568,2.82309774506479e-11,2.14268181795538e-10
ABCB6,148.038953982666,-0.800047301449267,0.166851088219613,-4.79497802493339,1.62692664419776e-06,7.6071966693439e-06
ABCB8,1250.47148885627,1.11270308491611,0.176344203129545,6.30983647417491,2.79330449213035e-10,1.94837506821148e-09
ABCB9,235.024134390928,1.3129750974279,0.194921774297449,6.73590778741995,1.62909584056259e-11,1.26225654532624e-10
ABCC1,512.375115157183,0.859797288672927,0.257244016443965,3.34234125465155,0.000830748582753792,0.00253348751035465
ABCC11,13.144545176358,1.23569517453253,0.327795864256406,3.76970947249643,0.000163437687255569,0.000567927693948903
ABCC2,56.0623073933451,0.875982771782191,0.349997613760102,2.50282498320864,0.0123206453644396,0.0289096564238761
ABCC4,274.67729530751,-3.34286380216198,0.41194817542147,-8.11476783151632,4.86714437040877e-16,5.25186408041073e-15
ABCC6P1,46.570481181537,-4.60531943868073,0.411293666599854,-11.1971562235633,4.2103251885338e-29,9.33647293632531e-28
ABCC8,717.187361296232,-1.52877531819579,0.323933313416699,-4.71941370299636,2.36525358856011e-06,1.08350986185746e-05
ABCD1,97.4640738538479,0.752879947282657,0.18570996750463,4.05406321157149,5.03356052728933e-05,0.000189705115259902
ABCD2,166.825899195452,-1.06304199580212,0.20062162090521,-5.29874093831786,1.16603935868888e-07,6.22173132503033e-07
ABCD3,1715.70829019219,-0.5596121641432,0.176087448576413,-3.178035508308,0.00148276590380352,0.0043016816540764
ABCF1,1751.07253664424,1.13738873481879,0.342591557624815,3.31995552577039,0.000900317896921469,0.00272543289920915
ABCF2,652.172154374225,0.571674233000437,0.15694479320949,3.64251799189901,0.000269984100846059,0.000903226417266353
ABCF3,906.808352778249,0.506301107126032,0.174540462623494,2.90076638686462,0.00372251284785457,0.0099201702033177
ABCG4,130.716743288981,-2.57474397831933,0.263835598456962,-9.75889528698053,1.68985882010045e-22,2.64256911792779e-21
ABCG8,6.43665842232158,-1.93205479127266,0.524085102362936,-3.68652873848471,0.000227333780028882,0.000770100381247357
ABHD12B,40.1915025944079,1.24318844190444,0.276544866761337,4.49543127111209,6.94290818414949e-06,2.97764509365898e-05
ABHD13,609.09910955262,-0.860520632565035,0.209173865158277,-4.1139012845314,3.89027850069734e-05,0.000149311274763183
ABHD16A,102.592353787765,-0.383876479293772,0.168247462064297,-2.28161824602781,0.0225118885311487,0.04899396228811
ABHD17A,1096.17683314099,1.82636021598226,0.149121741986892,12.2474442133515,1.73373943636919e-34,4.96896264876379e-33
ABHD17AP6,2.94847977735952,2.98985656775889,0.729237279676534,4.09997767679279,4.13189992204097e-05,0.000157968003197306
ABHD17B,806.784515943461,2.15915689807445,0.181582867629458,11.8907522844086,1.32210341237796e-32,3.47616458181326e-31
ABHD17C,144.143098403232,-2.52384911201931,0.253866299802625,-9.94164689831437,2.74254913334927e-23,4.46857664252881e-22
ABHD18,530.924036215761,0.531535244648523,0.223819538576071,2.37483844364136,0.0175566326686905,0.0394133783771529
ABHD2,10227.7661246244,-4.13969247548133,0.212318623980953,-19.4975475907978,1.1517393825577e-84,3.20740222385943e-82
ABHD3,169.181323247375,-0.746762643761552,0.263952460096161,-2.82915583923521,0.00466709668648194,0.0121781086178538
ABHD4,255.794478108964,-0.7826786027078,0.209240302141818,-3.74057289487816,0.000183601286761346,0.000632013576533856
ABHD6,1127.60789638853,1.42873669058859,0.130406893872313,10.9559905014495,6.21942039555379e-28,1.28853435076638e-26
ABHD8,79.5468610146518,-0.911223078833167,0.264701732788917,-3.44245226214598,0.000576465599443359,0.00181533428215211
ABI1,996.08931487183,-1.4467437610418,0.143281695776365,-10.0971987608234,5.68426970992123e-24,9.59378409930039e-23
ABI2,3126.17570726954,-0.346272665678044,0.124339967674529,-2.78488624497994,0.00535465048375263,0.0137658058209128
ABL1,2052.14020520638,0.902278600423097,0.133349358102951,6.76627629303251,1.32139095056111e-11,1.03318303195721e-10
ABL2,1186.4738977674,-0.604817029098893,0.101517686111992,-5.95775034146931,2.55733790089706e-09,1.61766265326856e-08
